source,column,pattern,confidence,risk,matches,sample_size,match_pct,presidio_score,sample_match_1,sample_match_2,sample_match_3,sample_match_4,sample_match_5,detection_source,detection_timestamp
./data\presidio_rich_notes.txt,value,PERSON,AI,REVIEW,13,50,26.0,0.85,Montgomery AL 30101,Birmingham AL 30105,Montgomery AL 30107,Birmingham AL 30111,Montgomery AL 30113,PRESIDIO_NLP,2026-07-20T11:10:17.273648
./data\presidio_rich_notes.txt,value,LOCATION,AI,REVIEW,28,50,56.0,0.85,Nashville,TN,Savannah,Charlotte,NC,PRESIDIO_NLP,2026-07-20T11:10:17.273688
./data\presidio_rich_notes.txt,value,DATE_TIME,AI,REVIEW,10,50,20.0,0.85,30104,30109,30110,30114,30122,PRESIDIO_NLP,2026-07-20T11:10:17.273705
./data\presidio_rich_sample.csv,email,email,HIGH,HIGH,80,80,100.0,,alex.adams1@example.com,jordan.davis2@example.com,taylor.gray3@example.com,morgan.parker4@example.com,casey.adams5@example.com,REGEX_RULE,2026-07-20T11:10:17.278675
./data\presidio_rich_sample.csv,phone,phone,HIGH,HIGH,80,80,100.0,,404-555-1001,404-555-1002,404-555-1003,404-555-1004,404-555-1005,REGEX_RULE,2026-07-20T11:10:17.280422
./data\presidio_rich_sample.csv,ssn,ssn,HIGH,CRITICAL,80,80,100.0,,101-11-1001,102-12-1002,103-13-1003,104-14-1004,105-15-1005,REGEX_RULE,2026-07-20T11:10:17.282364
./data\presidio_rich_sample.csv,zip,zip,HIGH,HIGH,80,80,100.0,,30101,30102,30103,30104,30105,REGEX_RULE,2026-07-20T11:10:17.283719
./data\presidio_rich_sample.csv,customer_notes,PHONE_NUMBER,AI,REVIEW,80,80,100.0,0.75,404-555-1001,404-555-1002,404-555-1003,404-555-1004,404-555-1005,PRESIDIO_NLP,2026-07-20T11:10:17.924332
./data\presidio_rich_sample.csv,customer_notes,EMAIL_ADDRESS,AI,REVIEW,80,80,100.0,1.0,alex.adams1@example.com,jordan.davis2@example.com,taylor.gray3@example.com,morgan.parker4@example.com,casey.adams5@example.com,PRESIDIO_NLP,2026-07-20T11:10:17.924339
./data\presidio_rich_sample.csv,customer_notes,URL,AI,REVIEW,80,80,100.0,0.5,alex.ad,example.com,taylor.gr,morgan.pa,casey.ad,PRESIDIO_NLP,2026-07-20T11:10:17.924342
./data\presidio_rich_sample.csv,customer_notes,PERSON,AI,REVIEW,53,80,66.25,0.85,Alex Adams,Jordan Davis,Taylor Gray,Casey Adams,Jamie Gray,PRESIDIO_NLP,2026-07-20T11:10:17.924344
./data\presidio_rich_sample.csv,customer_notes,LOCATION,AI,REVIEW,74,80,92.5,0.85,789 Pine Avenue,Hillcrest Lane,Nashville,Market Street,Savannah GA,PRESIDIO_NLP,2026-07-20T11:10:17.924346
./data\presidio_rich_sample.csv,customer_notes,DATE_TIME,AI,REVIEW,27,80,33.75,0.85,30102,30104,30109,30110,30114,PRESIDIO_NLP,2026-07-20T11:10:17.924352
./data\presidio_rich_sample.csv,customer_notes,UK_NHS,AI,REVIEW,7,80,8.75,1.0,404-555-1018,404-555-1026,404-555-1034,404-555-1042,404-555-1050,PRESIDIO_NLP,2026-07-20T11:10:17.924355
./data\presidio_rich_sample.json,email,email,HIGH,HIGH,80,80,100.0,,alex.adams1@example.com,jordan.davis2@example.com,taylor.gray3@example.com,morgan.parker4@example.com,casey.adams5@example.com,REGEX_RULE,2026-07-20T11:10:17.931763
./data\presidio_rich_sample.json,phone,phone,HIGH,HIGH,80,80,100.0,,404-555-1001,404-555-1002,404-555-1003,404-555-1004,404-555-1005,REGEX_RULE,2026-07-20T11:10:17.933175
./data\presidio_rich_sample.json,ssn,ssn,HIGH,CRITICAL,80,80,100.0,,101-11-1001,102-12-1002,103-13-1003,104-14-1004,105-15-1005,REGEX_RULE,2026-07-20T11:10:17.934521
./data\presidio_rich_sample.json,zip,zip,HIGH,HIGH,80,80,100.0,,30101,30102,30103,30104,30105,REGEX_RULE,2026-07-20T11:10:17.935945
./data\presidio_rich_sample.json,customer_notes,PHONE_NUMBER,AI,REVIEW,80,80,100.0,0.75,404-555-1001,404-555-1002,404-555-1003,404-555-1004,404-555-1005,PRESIDIO_NLP,2026-07-20T11:10:18.544910
./data\presidio_rich_sample.json,customer_notes,EMAIL_ADDRESS,AI,REVIEW,80,80,100.0,1.0,alex.adams1@example.com,jordan.davis2@example.com,taylor.gray3@example.com,morgan.parker4@example.com,casey.adams5@example.com,PRESIDIO_NLP,2026-07-20T11:10:18.544917
./data\presidio_rich_sample.json,customer_notes,URL,AI,REVIEW,80,80,100.0,0.5,alex.ad,example.com,taylor.gr,morgan.pa,casey.ad,PRESIDIO_NLP,2026-07-20T11:10:18.544925
./data\presidio_rich_sample.json,customer_notes,PERSON,AI,REVIEW,53,80,66.25,0.85,Alex Adams,Jordan Davis,Taylor Gray,Casey Adams,Jamie Gray,PRESIDIO_NLP,2026-07-20T11:10:18.544927
./data\presidio_rich_sample.json,customer_notes,LOCATION,AI,REVIEW,74,80,92.5,0.85,789 Pine Avenue,Hillcrest Lane,Nashville,Market Street,Savannah GA,PRESIDIO_NLP,2026-07-20T11:10:18.544930
./data\presidio_rich_sample.json,customer_notes,DATE_TIME,AI,REVIEW,27,80,33.75,0.85,30102,30104,30109,30110,30114,PRESIDIO_NLP,2026-07-20T11:10:18.544932
./data\presidio_rich_sample.json,customer_notes,UK_NHS,AI,REVIEW,7,80,8.75,1.0,404-555-1018,404-555-1026,404-555-1034,404-555-1042,404-555-1050,PRESIDIO_NLP,2026-07-20T11:10:18.544934
./data\presidio_rich_sample.xlsx,email,email,HIGH,HIGH,80,80,100.0,,alex.adams1@example.com,jordan.davis2@example.com,taylor.gray3@example.com,morgan.parker4@example.com,casey.adams5@example.com,REGEX_RULE,2026-07-20T11:10:18.742836
./data\presidio_rich_sample.xlsx,phone,phone,HIGH,HIGH,80,80,100.0,,404-555-1001,404-555-1002,404-555-1003,404-555-1004,404-555-1005,REGEX_RULE,2026-07-20T11:10:18.744603
./data\presidio_rich_sample.xlsx,ssn,ssn,HIGH,CRITICAL,80,80,100.0,,101-11-1001,102-12-1002,103-13-1003,104-14-1004,105-15-1005,REGEX_RULE,2026-07-20T11:10:18.746209
./data\presidio_rich_sample.xlsx,zip,zip,HIGH,HIGH,80,80,100.0,,30101,30102,30103,30104,30105,REGEX_RULE,2026-07-20T11:10:18.747707
./data\presidio_rich_sample.xlsx,customer_notes,PHONE_NUMBER,AI,REVIEW,80,80,100.0,0.75,404-555-1001,404-555-1002,404-555-1003,404-555-1004,404-555-1005,PRESIDIO_NLP,2026-07-20T11:10:19.373233
./data\presidio_rich_sample.xlsx,customer_notes,EMAIL_ADDRESS,AI,REVIEW,80,80,100.0,1.0,alex.adams1@example.com,jordan.davis2@example.com,taylor.gray3@example.com,morgan.parker4@example.com,casey.adams5@example.com,PRESIDIO_NLP,2026-07-20T11:10:19.373240
./data\presidio_rich_sample.xlsx,customer_notes,URL,AI,REVIEW,80,80,100.0,0.5,alex.ad,example.com,taylor.gr,morgan.pa,casey.ad,PRESIDIO_NLP,2026-07-20T11:10:19.373242
./data\presidio_rich_sample.xlsx,customer_notes,PERSON,AI,REVIEW,53,80,66.25,0.85,Alex Adams,Jordan Davis,Taylor Gray,Casey Adams,Jamie Gray,PRESIDIO_NLP,2026-07-20T11:10:19.373245
./data\presidio_rich_sample.xlsx,customer_notes,LOCATION,AI,REVIEW,74,80,92.5,0.85,789 Pine Avenue,Hillcrest Lane,Nashville,Market Street,Savannah GA,PRESIDIO_NLP,2026-07-20T11:10:19.373247
./data\presidio_rich_sample.xlsx,customer_notes,DATE_TIME,AI,REVIEW,27,80,33.75,0.85,30102,30104,30109,30110,30114,PRESIDIO_NLP,2026-07-20T11:10:19.373250
./data\presidio_rich_sample.xlsx,customer_notes,UK_NHS,AI,REVIEW,7,80,8.75,1.0,404-555-1018,404-555-1026,404-555-1034,404-555-1042,404-555-1050,PRESIDIO_NLP,2026-07-20T11:10:19.373252
./data\sample_pii.csv,email,email,HIGH,HIGH,50,50,100.0,,user1@example.com,user2@example.com,user3@example.com,user4@example.com,user5@example.com,REGEX_RULE,2026-07-20T11:10:19.376825
./data\sample_pii.csv,phone,phone,HIGH,HIGH,50,50,100.0,,4045551001,4045551002,4045551003,4045551004,4045551005,REGEX_RULE,2026-07-20T11:10:19.378052
./data\sample_pii.csv,phone,driver_license,LOW,LOW,50,50,100.0,,4045551001,4045551002,4045551003,4045551004,4045551005,REGEX_RULE,2026-07-20T11:10:19.378245
./data\sample_pii.csv,phone,bank_account,LOW,LOW,50,50,100.0,,4045551001,4045551002,4045551003,4045551004,4045551005,REGEX_RULE,2026-07-20T11:10:19.378294
./data\sample_pii.csv,ssn,ssn,HIGH,CRITICAL,50,50,100.0,,101-11-1001,102-12-1002,103-13-1003,104-14-1004,105-15-1005,REGEX_RULE,2026-07-20T11:10:19.379882
./data\sample_pii.json,email,email,HIGH,HIGH,50,50,100.0,,customer1@test.com,customer2@test.com,customer3@test.com,customer4@test.com,customer5@test.com,REGEX_RULE,2026-07-20T11:10:19.383260
./data\sample_pii.json,ip_address,ip,HIGH,HIGH,50,50,100.0,,192.168.1.3,192.168.2.6,192.168.3.9,192.168.4.12,192.168.5.15,REGEX_RULE,2026-07-20T11:10:19.384557
./data\sample_pii.json,customer_id,zip,LOW,LOW,50,50,100.0,,10001,10002,10003,10004,10005,REGEX_RULE,2026-07-20T11:10:19.386197
./data\sample_pii.txt,value,email,LOW,LOW,25,51,49.02,,user1@example.com,user2@example.com,user3@example.com,user4@example.com,user5@example.com,REGEX_RULE,2026-07-20T11:10:19.388679
./data\sample_pii.txt,value,phone,LOW,LOW,25,51,49.02,,4045552001,4045552002,4045552003,4045552004,4045552005,REGEX_RULE,2026-07-20T11:10:19.388918
./data\sample_pii.txt,value,driver_license,LOW,LOW,25,51,49.02,,4045552001,4045552002,4045552003,4045552004,4045552005,REGEX_RULE,2026-07-20T11:10:19.388968
./data\sample_pii.txt,value,bank_account,LOW,LOW,25,51,49.02,,4045552001,4045552002,4045552003,4045552004,4045552005,REGEX_RULE,2026-07-20T11:10:19.389015
./data\sample_pii.xlsx,email,email,HIGH,HIGH,30,30,100.0,,emp1@company.com,emp2@company.com,emp3@company.com,emp4@company.com,emp5@company.com,REGEX_RULE,2026-07-20T11:10:19.398625
./data\sample_pii.xlsx,zip,zip,HIGH,HIGH,30,30,100.0,,30101,30102,30103,30104,30105,REGEX_RULE,2026-07-20T11:10:19.399963
./data\sample_pii.xlsx,account,driver_license,LOW,LOW,30,30,100.0,,ACC100001,ACC100002,ACC100003,ACC100004,ACC100005,REGEX_RULE,2026-07-20T11:10:19.401270
./data\sample_pii.xlsx,account,passport,LOW,LOW,30,30,100.0,,ACC100001,ACC100002,ACC100003,ACC100004,ACC100005,REGEX_RULE,2026-07-20T11:10:19.401454
